Your age:,Your gender:,"Are you currently enrolled in any educational institution, such as a school, college, or university? ",What is the highest level of education you have completed? ,Have you ever considered studying abroad? ,"  If yes, what level of education are you considering studying abroad?  ",What has motivated you to consider studying abroad? (Select all that apply)  ,Which of the following best describes how educational opportunities in Pakistan have impacted your career goals? ,"If given the chance, would you choose to study at a university in Pakistan or abroad, assuming both offer equal value in terms of education, opportunities, and scholarships?  ",Which aspects of life in Pakistan do you find most challenging? (Select all that apply)  ,What do you find most appealing about living abroad? (Select all that apply)  ,Do you think there are enough opportunities for personal and professional growth in Pakistan? ,Do you plan to seek employment opportunities abroad? ,"If you moved abroad, would you want to come back to Pakistan in future? ","If you were offered a competitive salary in Pakistan, would you consider migrating abroad for work?  ",How does the political and economic situation in Pakistan affect your thoughts on leaving the country? ,Do you know anyone abroad whose achievements or lifestyle has inspired you to move to another country?  ,Which countries have you thought about moving to? (Select all that apply)  ,What do you think is the biggest challenge of moving abroad?  (Select all that apply)     ,"If you were to move abroad, how would it affect your decision on where to marry?  "
20,Male,Yes,A levels / Intermediate,No,,Lack of suitable programs in Pakistan.,No relevant opportunities found,Unsure,"Safety and security, Cost of living",Higher quality of life,"Some, but not enough",Undecided,"Maybe, depends on circumstances",Unsure,Not sure,Unsure,None of above,Leaving family and friends behind,It depends on the circumstances.
19,Female,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Abroad,"Cost of living, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, definitely","Australia, Germany, New Zealand",Legal and immigration issues,I would prefer to return to Pakistan to marry.
19,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends., Wide ""Research"" resources and support","Do not align, considering alternatives",Pakistan,Social life and culture,Better burden and load management for students,"No, very few opportunities",Yes,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, definitely","Korea,China,Japan as they are very advanced in technology and CS sectors and I am also an CS student ","Adjusting to a new culture, Leaving family and friends behind, Financial issues,if a fully funded scholarship is provided that would be best",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Lack of suitable programs in Pakistan.",No relevant opportunities found,Abroad,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,No,Yes,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany, New Zealand, United Arab Emirates, Singapore, Any country just no pakistan","Legal and immigration issues, Leaving family and friends behind",I would prefer to marry abroad.
18,Male,Yes,A levels / Intermediate,Yes,PhD,"Desire for international exposure, Influence from family or friends.",Unsure of the impact,Pakistan,"Safety and security, Cost of living, Economic opportunities",New cultural experiences,"Some, but not enough",No,Yes,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Japan","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I’m unsure.
18,Male,Yes,A levels / Intermediate,Yes,PhD,More career opportunities after graduation.,Unsure of the impact,Abroad,Social life and culture,"Better job options, Higher quality of life","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","No, not really","United States, Canada, United Kingdom, United Arab Emirates","Finding a job, Adjusting to a new culture",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Bachelor's,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,Economic opportunities,Higher quality of life,"Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely",Australia,"Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to marry abroad.
19,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,No relevant opportunities found,Abroad,"Social life and culture, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,No,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, United Kingdom, Germany, United Arab Emirates, Singapore",Finding a job,I would prefer to marry abroad.
18,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Somewhat align, but lacking",Pakistan,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,Yes,No,"Somewhat, it’s a factor","Yes, definitely","Australia, United Kingdom, Germany, United Arab Emirates","Adjusting to a new culture, Leaving family and friends behind",It depends on the circumstances.
19,Female,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Pakistan,"Social life and culture, Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada","Finding a job, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Male,Yes,A levels / Intermediate,Yes,Master's,Better quality of education.,No relevant opportunities found,Pakistan,Safety and security,Sense of security and proper law or judiciary system,"Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","No, not really","United States, Canada, United Arab Emirates","Adjusting to a new culture, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Male,Yes,A levels / Intermediate,Yes,Bachelor's,More career opportunities after graduation.,No relevant opportunities found,Abroad,Economic opportunities,"Higher quality of life, New cultural experiences","Yes, there are plenty",No,Yes,No,"Not much, it doesn’t influence me","No, not really","Australia, United Kingdom",Leaving family and friends behind,I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,Safety and security,Better job options,"Some, but not enough",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, somewhat","Australia, Germany, New Zealand",Leaving family and friends behind,I would prefer to return to Pakistan to marry.
18,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Unsure,"Social life and culture, Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,"Maybe, depends on circumstances",Unsure,"Somewhat, it’s a factor","Yes, definitely","United States, Canada, United Kingdom, Germany, Singapore","Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
18,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure",No relevant opportunities found,Abroad,"Social life and culture, Safety and security, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"Not much, it doesn’t influence me","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Male,Yes,Bachelor's,No,,,"Somewhat align, but lacking",Pakistan,"Safety and security, Cost of living",Better job options,"Some, but not enough",No,Yes,Yes,"Somewhat, it’s a factor","Yes, somewhat",United Kingdom,"Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Undecided,,Better quality of education.,Fully support my goals,Abroad,Economic opportunities,"Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",Unsure,Not sure,"Yes, definitely","Australia, United Kingdom","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,No,,,"Somewhat align, but lacking",Abroad,Social life and culture,"Better job options, Higher quality of life","Some, but not enough",Yes,Yes,No,"Somewhat, it’s a factor","Yes, definitely","United States, Canada, Australia, Germany","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Male,No,A levels / Intermediate,Yes,Bachelor's,"More career opportunities after graduation., Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Pakistan,"Cost of living, Economic opportunities",Better job options,Unsure,Yes,Yes,No,"A lot, it encourages me to look abroad","No, not really",Afghanistan ,"Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Female,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,Economic opportunities,Higher quality of life,"Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada","Adjusting to a new culture, Leaving family and friends behind",I’m unsure.
21,Female,Yes,A levels / Intermediate,Undecided,Bachelor's,Better quality of education.,"Somewhat align, but lacking",Pakistan,"Safety and security, Economic opportunities",Higher quality of life,"Some, but not enough",Undecided,Yes,Yes,"Somewhat, it’s a factor","No, not really","United States, Canada, Germany, United Arab Emirates, Singapore","Adjusting to a new culture, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.",No relevant opportunities found,Abroad,"Cost of living, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,No,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, Germany","Adjusting to a new culture, Leaving family and friends behind",I would prefer to marry abroad.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., Lack of suitable programs in Pakistan.",No relevant opportunities found,Abroad,"Safety and security, Economic opportunities","I want to STUDY abroad, but not live outside here.","Yes, there are plenty",No,Yes,No,"Somewhat, it’s a factor","No, not really","None of above, Probably a country that still aligns with my religious beliefs, but still has Asian values intact (familial piety, etx.) E.g Indonesia","Adjusting to a new culture, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
18,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Pakistan,"Safety and security, Cost of living, Economic opportunities",Better job options,"Some, but not enough",Undecided,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, somewhat","United States, Canada, Germany","Adjusting to a new culture, Leaving family and friends behind",It depends on the circumstances.
21,Male,Yes,A levels / Intermediate,Yes,Bachelor's,Opportunities to earn while studying and earning my own tuition fee.,"Do not align, considering alternatives",Pakistan,"Safety and security, Economic opportunities","Better job options, New cultural experiences","No, very few opportunities",Undecided,Yes,No,"A lot, it encourages me to look abroad","Yes, somewhat","Australia, United Kingdom","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,Better quality of education.,No relevant opportunities found,Pakistan,"Social life and culture, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, somewhat","United Kingdom, Germany","Adjusting to a new culture, Legal and immigration issues",I would prefer to return to Pakistan to marry.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure","Do not align, considering alternatives",Pakistan,"Social life and culture, Economic opportunities","Better job options, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"Not much, it doesn’t influence me","No, not really","United States, Canada","Adjusting to a new culture, Legal and immigration issues",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Abroad,"Social life and culture, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United Kingdom, Germany, United Arab Emirates","Finding a job, Legal and immigration issues",It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.","Somewhat align, but lacking",Pakistan,Economic opportunities,"Better job options, Higher quality of life","Some, but not enough",Yes,Yes,No,"Not much, it doesn’t influence me","No, not really","Germany, United Arab Emirates",none,It depends on the circumstances.
21,Male,Yes,A levels / Intermediate,No,,,"Somewhat align, but lacking",Abroad,Economic opportunities,Better job options,"Some, but not enough",Yes,Yes,Yes,"A lot, it encourages me to look abroad",,"Australia, United Kingdom",Leaving family and friends behind,
21,Male,Yes,A levels / Intermediate,Yes,Master's,Better quality of education.,No relevant opportunities found,Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, Germany, New Zealand","Finding a job, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
21,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Abroad,Cost of living,"Better job options, Higher quality of life","No, very few opportunities",Yes,Yes,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia","Finding a job, Legal and immigration issues",It depends on the circumstances.
22,Male,Yes,A levels / Intermediate,Undecided,,"More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.","Somewhat align, but lacking",Abroad,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, somewhat","Singapore, Japan","Finding a job, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
20,Female,Yes,A levels / Intermediate,No,,"Better quality of education., More career opportunities after graduation.",Fully support my goals,Abroad,Safety and security,Better job options,"Some, but not enough",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely",Australia,Adjusting to a new culture,It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Do not align, considering alternatives",Abroad,"Social life and culture, Safety and security, Cost of living","Better job options, Higher quality of life","No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany",Legal and immigration issues,I would prefer to return to Pakistan to marry.
21,Male,Yes,A levels / Intermediate,Yes,Bachelor's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,"Social life and culture, Safety and security, Economic opportunities","Better job options, Higher quality of life","Some, but not enough",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","Australia, United Kingdom, Germany, New Zealand",Legal and immigration issues,I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,Economic opportunities,Better job options,"Some, but not enough",Yes,Yes,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United Kingdom, Germany",Leaving family and friends behind,It depends on the circumstances.
20,Female,Yes,Bachelor's,No,,,"Do not align, considering alternatives",Abroad,"Safety and security, Cost of living",Better job options,"Some, but not enough",Yes,Yes,Yes,"Somewhat, it’s a factor",,United Arab Emirates,Leaving family and friends behind,
22,Male,Yes,Bachelor's,Yes,Master's,"More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan.",No relevant opportunities found,Abroad,"Safety and security, Economic opportunities",Higher quality of life,"No, very few opportunities",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
21,Male,Yes,A levels / Intermediate,Yes,Bachelor's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.","Somewhat align, but lacking",Abroad,"Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada",Adjusting to a new culture,It depends on the circumstances.
20,Female,No,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,Fully support my goals,Abroad,Economic opportunities,Better job options,"Some, but not enough",Yes,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, definitely",Germany,Finding a job,It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,Unsure of the impact,Abroad,Cost of living,Higher quality of life,"No, very few opportunities",Yes,"Maybe, depends on circumstances",Unsure,"Somewhat, it’s a factor","Yes, definitely",Australia,Leaving family and friends behind,I would prefer to return to Pakistan to marry.
20,Female,Yes,A levels / Intermediate,Undecided,,More career opportunities after graduation.,"Somewhat align, but lacking",Abroad,None of the above,Better job options,Unsure,Yes,Yes,Yes,"Somewhat, it’s a factor","Yes, definitely",United Arab Emirates,Finding a job,I’m unsure.
21,Male,Yes,A levels / Intermediate,No,Master's,More career opportunities after graduation.,No relevant opportunities found,Abroad,"Social life and culture, Safety and security, Cost of living","Better job options, Higher quality of life, New cultural experiences","Yes, there are plenty",Yes,No,No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Lack of suitable programs in Pakistan.",Unsure of the impact,Abroad,"Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, United Kingdom, Germany","Finding a job, Legal and immigration issues",I would prefer to return to Pakistan to marry.
19,Female,Yes,Bachelor's,Undecided,PhD,Better quality of education.,"Somewhat align, but lacking",Pakistan,Safety and security,None of above,"Yes, there are plenty",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, somewhat",Germany,"Finding a job, Adjusting to a new culture",I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Undecided,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,Economic opportunities,Better job options,"Some, but not enough",Undecided,"Maybe, depends on circumstances",No,"Somewhat, it’s a factor","Yes, somewhat",Australia,Leaving family and friends behind,I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,Undecided,Master's,More career opportunities after graduation.,"Do not align, considering alternatives",Abroad,Economic opportunities,Better job options,"Yes, there are plenty",Undecided,"Maybe, depends on circumstances",No,Not sure,"Yes, somewhat",United Kingdom,Adjusting to a new culture,I’m unsure.
21,Male,Yes,A levels / Intermediate,Yes,Master's,Desire for international exposure,"Somewhat align, but lacking",Abroad,Economic opportunities,New cultural experiences,"Some, but not enough",Undecided,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, somewhat","United States, Canada, Australia, United Kingdom, Germany, Singapore",Finding a job,I would prefer to return to Pakistan to marry.
20,Male,Yes,A levels / Intermediate,No,Master's,More career opportunities after graduation.,No relevant opportunities found,Abroad,Economic opportunities,Better job options,"No, very few opportunities",Yes,No,Yes,"A lot, it encourages me to look abroad","No, not really","United Kingdom, Germany, New Zealand, Fin Land",Legal and immigration issues,I would prefer to marry abroad.
19,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Abroad,"Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,No,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","Australia, Germany, Norway","Legal and immigration issues, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
20,Female,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.",No relevant opportunities found,Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Undecided,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely",Australia,"Finding a job, Adjusting to a new culture",I would prefer to return to Pakistan to marry.
20,Female,No,Bachelor's,Undecided,Bachelor's,"Better quality of education., More career opportunities after graduation.",Unsure of the impact,Abroad,Safety and security,"Better job options, New cultural experiences","Some, but not enough",Undecided,Yes,No,"Not much, it doesn’t influence me","Yes, somewhat","United States, Canada",Adjusting to a new culture,I would prefer to return to Pakistan to marry.
19,Female,Yes,Bachelor's,Undecided,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Pakistan,"Safety and security, Cost of living",Better job options,"Yes, there are plenty",Undecided,"Maybe, depends on circumstances",Yes,Not sure,"Yes, definitely","United States, Canada, Australia, United Arab Emirates, Singapore","Finding a job, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
23,Male,Yes,A levels / Intermediate,Yes,Master's,Desire for international exposure,"Somewhat align, but lacking",Abroad,"Cost of living, Economic opportunities","Higher quality of life, New cultural experiences","Some, but not enough",Undecided,Yes,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Germany",Adjusting to a new culture,It depends on the circumstances.
19,Male,Yes,Bachelor's,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Abroad,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",No,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany","Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
22,Male,Yes,Bscs 5th semester ,Yes,Master's,"Better quality of education., More career opportunities after graduation., Desire for international exposure, Lack of suitable programs in Pakistan., Influence from family or friends.","Do not align, considering alternatives",Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities, None of the above","Better job options, Higher quality of life, New cultural experiences","Yes, there are plenty",Yes,"Maybe, depends on circumstances",Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, New Zealand, United Arab Emirates, Singapore, Italy,romania.USA.","Finding a job, Adjusting to a new culture, Legal and immigration issues",I would prefer to return to Pakistan to marry.
21,Male,Yes,A levels / Intermediate,No,Master's,"Better quality of education., ",Fully support my goals,Pakistan,Social life and culture,Better job options,"Yes, there are plenty",Yes,Yes,Yes,"A lot, it encourages me to look abroad","Yes, somewhat",New Zealand,Finding a job,I’m unsure.
21,Male,Yes,Bachelor's,Yes,Master's,"More career opportunities after graduation., Desire for international exposure",No relevant opportunities found,Abroad,"Safety and security, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,No,No,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Germany, United Arab Emirates",Legal and immigration issues,I would prefer to return to Pakistan to marry.
22,Male,Yes,A levels / Intermediate,Yes,Bachelor's,It's an opportunity to work in diverse and well establish enviroment. ,"Somewhat align, but lacking",Abroad,"Social life and culture, Safety and security","Higher quality of life, New cultural experiences","Yes, there are plenty",Yes,Yes,Yes,"Not much, it doesn’t influence me","Yes, definitely",United Arab Emirates,Legal and immigration issues,It depends on the circumstances.
24,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Do not align, considering alternatives",Abroad,"Safety and security, Cost of living",Better job options,"No, very few opportunities",Yes,"Maybe, depends on circumstances",No,"A lot, it encourages me to look abroad","Yes, definitely","Australia, United Kingdom",Leaving family and friends behind,It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"More career opportunities after graduation., Influence from family or friends.",No relevant opportunities found,Abroad,"Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Yes, there are plenty",Yes,"Maybe, depends on circumstances",Yes,"A lot, it encourages me to look abroad","Yes, definitely","Australia, United Kingdom, Germany, United Arab Emirates, ","Finding a job, Adjusting to a new culture, Leaving family and friends behind",I would prefer to return to Pakistan to marry.
23,Male,Yes,A levels / Intermediate,No,,I love my Pakistan ,Unsure of the impact,Pakistan,None of the above,None of above,"Yes, there are plenty",No,Yes,No,Not sure,"Yes, definitely",Pakistan only ,Finding a job,I would prefer to return to Pakistan to marry.
21,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,Fully support my goals,Pakistan,None of the above,"None of above, ","Some, but not enough",Undecided,Yes,No,Not sure,"No, not really","United States, Canada, Australia, United Kingdom, ",Leaving family and friends behind,I would prefer to return to Pakistan to marry.
21,Male,Yes,A levels / Intermediate,Yes,Master's,Lack of suitable programs in Pakistan.,No relevant opportunities found,Abroad,"Social life and culture, Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","No, very few opportunities",Yes,"Maybe, depends on circumstances",Unsure,"Somewhat, it’s a factor","Yes, definitely","United States, Canada, United Kingdom, United Arab Emirates","Finding a job, Leaving family and friends behind",It depends on the circumstances.
21,Male,Yes,Bachelor's,Yes,Bachelor's,Better quality of education.,Fully support my goals,Abroad,"Social life and culture, None of the above",Better job options,"Yes, there are plenty",Yes,"Maybe, depends on circumstances",Yes,Not sure,Unsure,"United States, Canada, Australia, United Kingdom, Germany, New Zealand, United Arab Emirates, Singapore",Finding a job,It depends on the circumstances.
19,Male,Yes,A levels / Intermediate,Undecided,Master's,More career opportunities after graduation.,No relevant opportunities found,Abroad,Social life and culture,Better job options,"No, very few opportunities",Yes,Yes,Yes,"Not much, it doesn’t influence me","Yes, definitely",Australia,Financial problem ,I would prefer to marry abroad.
22,Male,Yes,Last year of Graduation BS.CS,Yes,Master's,More career opportunities after graduation.,"Do not align, considering alternatives",Pakistan,"Social life and culture, Economic opportunities","Higher quality of life, New cultural experiences","Some, but not enough",Yes,Yes,No,"Not much, it doesn’t influence me","Yes, definitely","United States, Canada, Australia, United Kingdom",Finding a job,It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,"Better quality of education., More career opportunities after graduation.","Somewhat align, but lacking",Pakistan,"Social life and culture, Economic opportunities",Better job options,"No, very few opportunities",Yes,Yes,No,"A lot, it encourages me to look abroad","No, not really","United Kingdom, Germany, Spain ",Money ,I would prefer to return to Pakistan to marry.
23,Male,Yes,Bachelor's,Yes,Master's,More career opportunities after graduation.,Fully support my goals,Abroad,Economic opportunities,Higher quality of life,"Some, but not enough",Yes,Yes,Yes,"Somewhat, it’s a factor","Yes, somewhat","United Kingdom, Italy ",Finding a job,I would prefer to return to Pakistan to marry.
21,Male,Yes,Bachelor's,Yes,Bachelor's,More career opportunities after graduation.,Fully support my goals,Pakistan,"Cost of living, Economic opportunities","Better job options, Higher quality of life, New cultural experiences","Some, but not enough",Yes,Yes,Unsure,"A lot, it encourages me to look abroad","Yes, definitely","United States, Canada, Australia, United Kingdom, Germany, New Zealand, United Arab Emirates","Finding a job, Adjusting to a new culture, Legal and immigration issues",It depends on the circumstances.
20,Male,Yes,A levels / Intermediate,Yes,Master's,More career opportunities after graduation.,"Somewhat align, but lacking",Unsure,Safety and security,"Higher quality of life, New cultural experiences","Some, but not enough",Undecided,Yes,Unsure,"Somewhat, it’s a factor","Yes, somewhat",United Kingdom,Adjusting to a new culture,I would prefer to return to Pakistan to marry.
21,Female,Yes,A levels / Intermediate,Undecided,Master's,Better quality of education.,No relevant opportunities found,Pakistan,Cost of living,New cultural experiences,"No, very few opportunities",Yes,Yes,No,"A lot, it encourages me to look abroad","Yes, definitely",Australia,Finding a job,I would prefer to marry abroad.
20,Female,Yes,Bachelor's,Yes,Master's,More career opportunities after graduation.,Unsure of the impact,Abroad,"Social life and culture, Safety and security, Cost of living, Economic opportunities","Better job options, Higher quality of life","No, very few opportunities",Yes,Yes,Yes,"Somewhat, it’s a factor","Yes, definitely",Germany,"Finding a job, Adjusting to a new culture, Legal and immigration issues, Leaving family and friends behind",It depends on the circumstances.
